u,v,key,osmid,bridge,highway,lanes,name,oneway,reversed,length,width,ref,service,access,tunnel,junction,maxspeed,landuse,geometry
314655505,314655506,0,895234952,,footway,,,False,False,7.886159491143008,,,,,,,,,"LINESTRING (104.1047923 30.7136935, 104.1048032 30.7136232)"
314655505,314655504,0,895234952,,footway,,,False,True,9.514919757560666,,,,,,,,,"LINESTRING (104.1047923 30.7136935, 104.1047759 30.7137779)"
314655506,314655507,0,895234952,,footway,,,False,False,6.786717438029652,,,,,,,,,"LINESTRING (104.1048032 30.7136232, 104.1048413 30.7135717)"
314655506,314655505,0,895234952,,footway,,,False,True,7.886159491143008,,,,,,,,,"LINESTRING (104.1048032 30.7136232, 104.1047923 30.7136935)"
314655507,314655508,0,540644108,,footway,,,False,True,6.680723611899077,,,,,,,,,"LINESTRING (104.1048413 30.7135717, 104.1048959 30.7135342)"
314655507,314655506,0,895234952,,footway,,,False,True,6.786717438029652,,,,,,,,,"LINESTRING (104.1048413 30.7135717, 104.1048032 30.7136232)"
314655508,314655507,0,540644108,,footway,,,False,False,6.680723611899077,,,,,,,,,"LINESTRING (104.1048959 30.7135342, 104.1048413 30.7135717)"
314655508,314655514,0,540644108,,footway,,,False,True,15.326279050182986,,,,,,,,,"LINESTRING (104.1048959 30.7135342, 104.1050267 30.7134545)"
314655513,314655482,0,895234952,,footway,,,False,False,16.3709714589203,,,,,,,,,"LINESTRING (104.1041416 30.7142185, 104.1043125 30.7142279)"
314655513,314655481,0,895234952,,footway,,,False,True,4.96825468485728,,,,,,,,,"LINESTRING (104.1041416 30.7142185, 104.1040944 30.7141998)"
314655514,314655508,0,540644108,,footway,,,False,False,15.326279050182986,,,,,,,,,"LINESTRING (104.1050267 30.7134545, 104.1048959 30.7135342)"
314655514,314655515,0,540644108,,footway,,,False,True,11.232406037207124,,,,,,,,,"LINESTRING (104.1050267 30.7134545, 104.1051358 30.713417)"
314655515,314655514,0,540644108,,footway,,,False,False,11.232406037207124,,,,,,,,,"LINESTRING (104.1051358 30.713417, 104.1050267 30.7134545)"
314655515,314655516,0,540644108,,footway,,,False,True,4.476211535918656,,,,,,,,,"LINESTRING (104.1051358 30.713417, 104.1051739 30.7133936)"
314655516,314655515,0,540644108,,footway,,,False,False,4.476211535918656,,,,,,,,,"LINESTRING (104.1051739 30.7133936, 104.1051358 30.713417)"
314655516,314655517,0,540644108,,footway,,,False,True,4.298042165943699,,,,,,,,,"LINESTRING (104.1051739 30.7133936, 104.1051848 30.7133561)"
314655517,314655516,0,540644108,,footway,,,False,False,4.298042165943699,,,,,,,,,"LINESTRING (104.1051848 30.7133561, 104.1051739 30.7133936)"
314655517,314655518,0,540644108,,footway,,,False,True,5.369369631266919,,,,,,,,,"LINESTRING (104.1051848 30.7133561, 104.1052121 30.7133139)"
314655518,314655517,0,540644108,,footway,,,False,False,5.369369631266919,,,,,,,,,"LINESTRING (104.1052121 30.7133139, 104.1051848 30.7133561)"
314655518,314655519,0,540644108,,footway,,,False,True,6.778831198137521,,,,,,,,,"LINESTRING (104.1052121 30.7133139, 104.1052393 30.7132576)"
314655519,314655518,0,540644108,,footway,,,False,False,6.778831198137521,,,,,,,,,"LINESTRING (104.1052393 30.7132576, 104.1052121 30.7133139)"
314655519,314655520,0,540644108,,footway,,,False,True,10.851181660546002,,,,,,,,,"LINESTRING (104.1052393 30.7132576, 104.1053048 30.7131779)"
314655519,5231873948,0,540918321,,footway,,,False,True,18.941077982604934,,,,,,,,,"LINESTRING (104.1052393 30.7132576, 104.1050925 30.713372)"
314655520,314655519,0,540644108,,footway,,,False,False,10.851181660546002,,,,,,,,,"LINESTRING (104.1053048 30.7131779, 104.1052393 30.7132576)"
314655520,314655522,0,540644108,,footway,,,False,True,42.70151820633701,,,,,,,,,"LINESTRING (104.1053048 30.7131779, 104.1054847 30.7128264)"
314655522,314655520,0,540644108,,footway,,,False,False,42.70151820633701,,,,,,,,,"LINESTRING (104.1054847 30.7128264, 104.1053048 30.7131779)"
314655522,314655523,0,540644108,,footway,,,False,True,43.51379489096332,,,,,,,,,"LINESTRING (104.1054847 30.7128264, 104.1056319 30.7124561)"
314655523,314655522,0,540644108,,footway,,,False,False,43.51379489096332,,,,,,,,,"LINESTRING (104.1056319 30.7124561, 104.1054847 30.7128264)"
314655523,314655524,0,540644108,,footway,,,False,True,21.76634617903452,,,,,,,,,"LINESTRING (104.1056319 30.7124561, 104.1056973 30.7122686)"
314655524,314655523,0,540644108,,footway,,,False,False,21.76634617903452,,,,,,,,,"LINESTRING (104.1056973 30.7122686, 104.1056319 30.7124561)"
314655524,314655525,0,540644108,,footway,,,False,True,7.0188578940602575,,,,,,,,,"LINESTRING (104.1056973 30.7122686, 104.1057519 30.7122264)"
314655525,314655524,0,540644108,,footway,,,False,False,7.0188578940602575,,,,,,,,,"LINESTRING (104.1057519 30.7122264, 104.1056973 30.7122686)"
314655525,314655526,0,540644108,,footway,,,False,True,9.960593859133445,,,,,,,,,"LINESTRING (104.1057519 30.7122264, 104.1058282 30.7121654)"
314655526,314655525,0,540644108,,footway,,,False,False,9.960593859133445,,,,,,,,,"LINESTRING (104.1058282 30.7121654, 104.1057519 30.7122264)"
314655526,314655527,0,540644108,,footway,,,False,True,7.696961583211849,,,,,,,,,"LINESTRING (104.1058282 30.7121654, 104.1058991 30.7121326)"
314655527,314655526,0,540644108,,footway,,,False,False,7.696961583211849,,,,,,,,,"LINESTRING (104.1058991 30.7121326, 104.1058282 30.7121654)"
314655527,314655528,0,540644108,,footway,,,False,True,8.40153353847747,,,,,,,,,"LINESTRING (104.1058991 30.7121326, 104.1059863 30.7121232)"
314655527,9739419290,0,1060055985,,footway,,,False,False,13.597934471052866,,,,,,,,,"LINESTRING (104.1058991 30.7121326, 104.1060395 30.7121522)"
314655527,9739419289,0,1060055985,,footway,,,False,True,9.937760852985086,,,,,,,,,"LINESTRING (104.1058991 30.7121326, 104.1057994 30.7121073)"
314655528,314655527,0,540644108,,footway,,,False,False,8.40153353847747,,,,,,,,,"LINESTRING (104.1059863 30.7121232, 104.1058991 30.7121326)"
314655528,314655529,0,540644108,,footway,,,False,True,12.146416192754174,,,,,,,,,"LINESTRING (104.1059863 30.7121232, 104.1061115 30.7121046)"
314655529,314655528,0,540644108,,footway,,,False,False,12.146416192754174,,,,,,,,,"LINESTRING (104.1061115 30.7121046, 104.1059863 30.7121232)"
314655529,314655530,0,540644108,,footway,,,False,True,8.36720295949725,,,,,,,,,"LINESTRING (104.1061115 30.7121046, 104.1061637 30.7120442)"
314655530,314655529,0,540644108,,footway,,,False,False,8.36720295949725,,,,,,,,,"LINESTRING (104.1061637 30.7120442, 104.1061115 30.7121046)"
314655530,314655531,0,540644108,,footway,,,False,True,7.277083250886405,,,,,,,,,"LINESTRING (104.1061637 30.7120442, 104.1061665 30.7119788)"
314655531,314655530,0,540644108,,footway,,,False,False,7.277083250886405,,,,,,,,,"LINESTRING (104.1061665 30.7119788, 104.1061637 30.7120442)"
