osmid,y,x,street_count,highway,railway,ref,geometry
7840249367,30.73584,104.0802547,4,,,,POINT (104.0802547 30.73584)
7840249368,30.7358438,104.0803144,2,,,,POINT (104.0803144 30.7358438)
7840249369,30.7362735,104.0806601,3,,,,POINT (104.0806601 30.7362735)
7840249370,30.7360817,104.0808778,3,,,,POINT (104.0808778 30.7360817)
7840249497,30.7373364,104.0825868,3,,,,POINT (104.0825868 30.7373364)
7840249498,30.7374226,104.0825195,2,,,,POINT (104.0825195 30.7374226)
7840249499,30.7375274,104.0824057,2,,,,POINT (104.0824057 30.7375274)
7840249500,30.7375693,104.0821902,2,,,,POINT (104.0821902 30.7375693)
7840249501,30.7375938,104.0820764,2,,,,POINT (104.0820764 30.7375938)
7840249502,30.7376637,104.081991,2,,,,POINT (104.081991 30.7376637)
7840249503,30.737793,104.0819991,2,,,,POINT (104.0819991 30.737793)
7840249504,30.7378559,104.0820682,2,,,,POINT (104.0820682 30.7378559)
7840249505,30.7379013,104.0821902,2,,,,POINT (104.0821902 30.7379013)
7840249506,30.7380446,104.0823772,2,,,,POINT (104.0823772 30.7380446)
7840249507,30.7381389,104.0824422,2,,,,POINT (104.0824422 30.7381389)
7840249508,30.7382123,104.0824504,2,,,,POINT (104.0824504 30.7382123)
7840249509,30.7382507,104.0824138,2,,,,POINT (104.0824138 30.7382507)
7840249510,30.7382996,104.0822715,2,,,,POINT (104.0822715 30.7382996)
7840249511,30.7382961,104.0821129,2,,,,POINT (104.0821129 30.7382961)
7840249512,30.7383346,104.0819544,2,,,,POINT (104.0819544 30.7383346)
7840249513,30.7383765,104.0819015,2,,,,POINT (104.0819015 30.7383765)
7840249514,30.738401,104.0818609,2,,,,POINT (104.0818609 30.738401)
7840249515,30.7383835,104.0817633,2,,,,POINT (104.0817633 30.7383835)
7840249516,30.7383835,104.0816983,2,,,,POINT (104.0816983 30.7383835)
7840249517,30.7384953,104.0816901,2,,,,POINT (104.0816901 30.7384953)
7840249518,30.7386002,104.0816739,2,,,,POINT (104.0816739 30.7386002)
7840249519,30.738712,104.0816454,3,,,,POINT (104.0816454 30.738712)
7840249520,30.7387853,104.08156,2,,,,POINT (104.08156 30.7387853)
7840249521,30.7388343,104.0815072,3,,,,POINT (104.0815072 30.7388343)
7840249522,30.7389915,104.0819259,1,,,,POINT (104.0819259 30.7389915)
7840249523,30.7382961,104.0772141,2,,,,POINT (104.0772141 30.7382961)
7840249524,30.7382857,104.0770189,2,,,,POINT (104.0770189 30.7382857)
7840249525,30.738062,104.0767506,2,,,,POINT (104.0767506 30.738062)
7840249526,30.7381384,104.0765944,3,,,,POINT (104.0765944 30.7381384)
7840249527,30.7383775,104.0773257,2,,,,POINT (104.0773257 30.7383775)
7840249528,30.7385127,104.0775115,2,,,,POINT (104.0775115 30.7385127)
7840249551,30.7386386,104.0834713,4,crossing,,,POINT (104.0834713 30.7386386)
7840249552,30.7389831,104.0830532,2,,,,POINT (104.0830532 30.7389831)
7840249553,30.7390165,104.0828125,2,,,,POINT (104.0828125 30.7390165)
7840249554,30.7388644,104.0825046,2,,,,POINT (104.0825046 30.7388644)
7840249555,30.7389648,104.0822108,2,,,,POINT (104.0822108 30.7389648)
7840249556,30.7382697,104.0841104,3,,,,POINT (104.0841104 30.7382697)
